,Date,CA
186,1999-12-31,87.528793713
187,1999-11-30,86.06955517
188,1999-10-31,85.512429333
189,1999-09-30,85.084425256
190,1999-08-31,84.639263122
191,1999-07-31,84.099110954
192,1999-06-30,83.466847292
193,1999-05-31,82.546031157
194,1999-04-30,81.354867147
195,1999-03-31,80.161399126
196,1999-02-28,79.173652168
197,1999-01-31,78.452160074
198,1998-12-31,78.023026489
199,1998-11-30,77.867618583
200,1998-10-31,77.612136644
201,1998-09-30,77.174636852
202,1998-08-31,76.843128054
203,1998-07-31,76.449020433
204,1998-06-30,75.872460298
205,1998-05-31,75.08397623
206,1998-04-30,73.961301737
207,1998-03-31,72.774287009
208,1998-02-28,71.675041321
209,1998-01-31,70.965031199
210,1997-12-31,70.796773624
211,1997-11-30,70.555235212
212,1997-10-31,70.221091916
213,1997-09-30,69.94472869
214,1997-08-31,69.783554381
215,1997-07-31,69.581460325
216,1997-06-30,69.225013362
217,1997-05-31,68.852591866
218,1997-04-30,68.394354005
219,1997-03-31,67.7726795
220,1997-02-28,67.247719139
221,1997-01-31,67.063823736
222,1996-12-31,67.106453648
223,1996-11-30,67.274039701
224,1996-10-31,67.477576711
225,1996-09-30,67.647095337
226,1996-08-31,67.773138412
227,1996-07-31,67.907896548
228,1996-06-30,67.739967595
229,1996-05-31,67.469772593
230,1996-04-30,67.281857451
231,1996-03-31,66.878506486
232,1996-02-29,66.597650147
233,1996-01-31,66.567724873
234,1995-12-31,66.652869061
235,1995-11-30,66.86891309
236,1995-10-31,67.023021491
237,1995-09-30,67.350502336
238,1995-08-31,67.821612175
239,1995-07-31,67.896799949
240,1995-06-30,67.841386028
241,1995-05-31,67.912081675
242,1995-04-30,68.00014368
243,1995-03-31,68.212365341
244,1995-02-28,68.335642565
245,1995-01-31,68.313508004
246,1994-12-31,68.436052506
247,1994-11-30,68.723114598
248,1994-10-31,69.059868281
249,1994-09-30,69.372936843
250,1994-08-31,69.613125872
251,1994-07-31,69.732141033
252,1994-06-30,69.702621994
253,1994-05-31,69.722587121
254,1994-04-30,69.741585635
255,1994-03-31,69.5053403
256,1994-02-28,69.315349433
257,1994-01-31,69.546199077
258,1993-12-31,69.992625957
259,1993-11-30,70.428795069
260,1993-10-31,70.893174649
261,1993-09-30,71.412634813
262,1993-08-31,71.787445912
263,1993-07-31,72.066161894
264,1993-06-30,72.542108183
265,1993-05-31,72.950459771
266,1993-04-30,73.142142309
267,1993-03-31,73.170279177
268,1993-02-28,73.329190799
269,1993-01-31,73.973332562
270,1992-12-31,74.96186455
271,1992-11-30,75.656625035
272,1992-10-31,76.054924212
273,1992-09-30,76.55831931
274,1992-08-31,76.771739517
275,1992-07-31,76.750014618
276,1992-06-30,76.899755114
277,1992-05-31,77.237085749
278,1992-04-30,77.616554656
279,1992-03-31,77.860808514
280,1992-02-29,78.052615003
281,1992-01-31,78.167844984
282,1991-12-31,78.237444897
283,1991-11-30,78.351639646
284,1991-10-31,78.405352237
285,1991-09-30,78.342270825
286,1991-08-31,78.532173989
287,1991-07-31,78.857152143
288,1991-06-30,78.917086634
289,1991-05-31,78.902993387
290,1991-04-30,78.902009786
291,1991-03-31,78.911212013
292,1991-02-28,79.020937671
293,1991-01-31,79.396842349
294,1990-12-31,79.701440156
295,1990-11-30,80.016563088
296,1990-10-31,80.582270145
297,1990-09-30,81.065582139
298,1990-08-31,81.338640624
299,1990-07-31,81.286128081
300,1990-06-30,80.976584737
301,1990-05-31,80.736601884
302,1990-04-30,80.588824832
303,1990-03-31,80.227798575
304,1990-02-28,79.758574921
305,1990-01-31,79.489438752
306,1989-12-31,79.101179187
307,1989-11-30,78.48672632
308,1989-10-31,77.796208704
309,1989-09-30,77.117654267
310,1989-08-31,76.384515099
311,1989-07-31,75.308579627
312,1989-06-30,74.15564765
313,1989-05-31,72.996889316
314,1989-04-30,71.6875682
315,1989-03-31,70.265492433
316,1989-02-28,68.971909079
317,1989-01-31,67.990930977
318,1988-12-31,67.086718217
319,1988-11-30,66.119801776
320,1988-10-31,65.052131579
321,1988-09-30,63.923972536
322,1988-08-31,62.870783262
323,1988-07-31,61.895477147
324,1988-06-30,60.878695173
325,1988-05-31,59.884927487
326,1988-04-30,58.994959843
327,1988-03-31,58.16705607
328,1988-02-29,57.466142149
329,1988-01-31,56.911522012
330,1987-12-31,56.416858698
331,1987-11-30,55.978975262
332,1987-10-31,55.56931501
333,1987-09-30,55.090757179
334,1987-08-31,54.542847941
335,1987-07-31,54.090566672
336,1987-06-30,53.6274456
337,1987-05-31,53.081916052
338,1987-04-30,52.598415797
339,1987-03-31,52.075342901
